line_number,structure_id,inspection_status,file,feature,defect,description,severity,position
L24A,L24A_56,APPROVED,DJI_20230619215928_0086_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_56,APPROVED,DJI_20230619215928_0086_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_57,APPROVED,DJI_20230619220251_0127_W.JPG,Insulator,['porcelain'],,LOW,5
L24A,L24A_57,APPROVED,DJI_20230619220251_0127_W.JPG,Insulator,['porcelain'],,LOW,5
L24A,L24A_57,APPROVED,DJI_20230619220251_0127_W.JPG,Insulator,['porcelain'],,LOW,5
L24A,L24A_58,APPROVED,DJI_20230619220426_0140_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_58,APPROVED,DJI_20230619220426_0140_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_58,APPROVED,DJI_20230619220426_0140_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_59,APPROVED,DJI_20230619220656_0168_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_59,APPROVED,DJI_20230619220656_0168_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_59,APPROVED,DJI_20230619220656_0168_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_6,APPROVED,DJI_20230615032810_0012_Z.JPG,Insulator,['porcelain'],,LOW,3
L24A,L24A_6,APPROVED,DJI_20230615032810_0012_Z.JPG,Insulator,['porcelain'],,LOW,3
L24A,L24A_6,APPROVED,DJI_20230615032726_0002_Z.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_60,APPROVED,DJI_20230619220922_0195_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_60,APPROVED,DJI_20230619220922_0195_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_60,APPROVED,DJI_20230619220922_0195_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_61,APPROVED,DJI_20230619224000_0002_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_61,APPROVED,DJI_20230619224000_0002_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_61,APPROVED,DJI_20230619224000_0002_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_62,APPROVED,DJI_20230619224243_0028_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_62,APPROVED,DJI_20230619224243_0028_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_62,APPROVED,DJI_20230619224243_0028_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_63,APPROVED,DJI_20230619224609_0071_Z.JPG,Member GV,['bent'],GV,LOW,5
L24A,L24A_63,APPROVED,DJI_20230619224602_0069_W.JPG,Insulator,['porcelain'],,LOW,4
L24A,L24A_63,APPROVED,DJI_20230619224602_0069_W.JPG,Insulator,['porcelain'],,LOW,4
L24A,L24A_63,APPROVED,DJI_20230619224602_0069_W.JPG,Insulator,['porcelain'],,LOW,4
L24A,L24A_64,APPROVED,DJI_20230619224735_0081_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_64,APPROVED,DJI_20230619224735_0081_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_64,APPROVED,DJI_20230619224735_0081_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_65,APPROVED,DJI_20230619225023_0108_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_65,APPROVED,DJI_20230619225023_0108_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_65,APPROVED,DJI_20230619225023_0108_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_66,APPROVED,DJI_20230619225800_0001_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_66,APPROVED,DJI_20230619225800_0001_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_66,APPROVED,DJI_20230619225800_0001_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_67,APPROVED,DJI_20230619230036_0029_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_67,APPROVED,DJI_20230619230036_0029_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_67,APPROVED,DJI_20230619230036_0029_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_68,APPROVED,DJI_20230619230345_0066_W.JPG,Insulator,['porcelain'],,LOW,3
L24A,L24A_68,APPROVED,DJI_20230619230345_0066_W.JPG,Insulator,['porcelain'],,LOW,3
L24A,L24A_68,APPROVED,DJI_20230619230345_0066_W.JPG,Insulator,['porcelain'],,LOW,3
L24A,L24A_69,APPROVED,DJI_20230619231610_0032_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_69,APPROVED,DJI_20230619231610_0032_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_69,APPROVED,DJI_20230619231610_0032_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_7,APPROVED,DJI_20230615053756_0011_Z.JPG,Footings,['fill too high'],,LOW,5
L24A,L24A_7,APPROVED,DJI_20230615053745_0006_Z.JPG,Member 37,['bent'],37,LOW,5
L24A,L24A_70,APPROVED,DJI_20230619231843_0061_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_70,APPROVED,DJI_20230619231843_0061_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_70,APPROVED,DJI_20230619231843_0061_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_71,APPROVED,DJI_20230619232121_0088_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_71,APPROVED,DJI_20230619232121_0088_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_71,APPROVED,DJI_20230619232121_0088_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_72,APPROVED,DJI_20230619232404_0117_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_72,APPROVED,DJI_20230619232404_0117_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_72,APPROVED,DJI_20230619232404_0117_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_73,APPROVED,DJI_20230619232719_0156_W.JPG,Insulator,['porcelain'],,LOW,4
L24A,L24A_73,APPROVED,DJI_20230619232719_0156_W.JPG,Insulator,['porcelain'],,LOW,4
L24A,L24A_73,APPROVED,DJI_20230619232719_0156_W.JPG,Insulator,['porcelain'],,LOW,4
L24A,L24A_74,APPROVED,DJI_20230619232904_0170_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_74,APPROVED,DJI_20230619232904_0170_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_74,APPROVED,DJI_20230619232904_0170_W.JPG,Insulator,['porcelain'],,LOW,0
L24A,L24A_75,APPROVED,DJI_20230620011452_0002_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_75,APPROVED,DJI_20230620011452_0002_W.JPG,Insulator,['porcelain'],,LOW,1
L24A,L24A_75,APPROVED,DJI_20230620011452_0002_W.JPG,Insulator,['porcelain'],,LOW,1
